ID,Causal claim,Independent variable (coded),Dependent variable (coded),Relationship,sentence_id,source,final_sentence_id
0,"Livestock, especially cattle, play a significant role in income-generating activities of the Malian population, ranking as the third most important export commodity, after gold and cotton.","livestock, especially cattle",income-generating activities,Positive,0,habitus,0
1,"Livestock, especially cattle, play a significant role in income-generating activities of the Malian population, ranking as the third most important export commodity, after gold and cotton.",export commodity,income-generating activities,Positive,0,habitus,0
2,"Livestock, especially cattle, play a significant role in income-generating activities of the Malian population, ranking as the third most important export commodity, after gold and cotton.",gold,income-generating activities,Positive,0,habitus,0
3,"Livestock, especially cattle, play a significant role in income-generating activities of the Malian population, ranking as the third most important export commodity, after gold and cotton.",cotton,income-generating activities,Positive,0,habitus,0
4,pastoralists in the arid and semi-arid regions of Mali continue to face increasing risk due to low levels of rainfall,rainfall,risk for pastoralists,Negative,1,habitus,1
5,"the vulnerability of pastoralists is exacerbated by the poor functioning of markets, a general characteristic of markets in sub-Saharan Africa countries",poor functioning of markets,vulnerability of pastoralists,Positive,2,habitus,2
6,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",transaction costs,market development,Negative,3,habitus,3
7,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",asymmetric information,opportunities for farmers to bargain for better prices,Negative,3,habitus,3
8,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",poor roads,access to markets,Negative,3,habitus,3
9,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",poor communication systems,access to markets,Negative,3,habitus,3
10,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",smallholder farmers living in remote areas,market development,Negative,3,habitus,3
11,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",smallholder farmers living in remote areas,opportunities for farmers to bargain for better prices,Negative,3,habitus,3
12,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",transaction costs,opportunities for farmers to bargain for better prices,Negative,3,habitus,3
13,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",asymmetric information,market development,Negative,3,habitus,3
14,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",access to markets,transaction costs,Negative,3,habitus,3
15,"high transaction costs and asymmetric information, for smallholder farmers living in remote areas, with no access to markets due to poor roads and communication systems, hamper market development and opportunities for farmers to bargain for better prices",access to markets,asymmetric information,Negative,3,habitus,3
16,"The recent investment in improving existing roads that connect administrative centres to regional capitals, combined with the advance in use of mobile phone communications, have facilitated the development of new and efficient cereal trade routes and reduced marketing margins",investment in road improvement,marketing margins,Negative,4,habitus,4
17,"The recent investment in improving existing roads that connect administrative centres to regional capitals, combined with the advance in use of mobile phone communications, have facilitated the development of new and efficient cereal trade routes and reduced marketing margins",use of mobile phone communications,marketing margins,Negative,4,habitus,4
18,"The recent investment in improving existing roads that connect administrative centres to regional capitals, combined with the advance in use of mobile phone communications, have facilitated the development of new and efficient cereal trade routes and reduced marketing margins",investment in road improvement,development of new trade routes,Positive,4,habitus,4
19,"The recent investment in improving existing roads that connect administrative centres to regional capitals, combined with the advance in use of mobile phone communications, have facilitated the development of new and efficient cereal trade routes and reduced marketing margins",use of mobile phone communications,development of new trade routes,Positive,4,habitus,4
27,local rice remains highly competitive with imported rice,imported rice,local rice competitiveness,Negative,8,habitus,8
