sentence_start,llama2,llama3,mistral,winner
"It is expected that both ecological and social compensation measures improve the overall acceptance of a local infrastructure, thus anchoring the latter within the surrounding community.",847.005759461436,1136.7270715283755,1016.2671690101882,llama3
"The prompt acceleration of food aid pledges and deliveries once the media story on the famine broke, even though the worst of the crisis was over by then, and the poorer response to non-food emergency needs, which received less press attention, lends weight to another familiar hypothesis: that one of these non-humanitarian criteria is media pressure.",1057.6213779519994,874.1157474720961,1068.262874575904,mistral
Some men were hesitant to assist with household chores because they believed it would create an expectation of ongoing involvement with chores after pregnancy.,1135.3373235329266,978.8009726445703,885.8617038225033,llama2
Pastoralists in the arid and semi-arid regions of Mali continue to face increasing risk due to low levels of rainfall.,1074.6497970420558,847.9304561303545,1077.41974682759,mistral
"The recent investment in improving existing roads that connect administrative centres to regional capitals, combined with the advance in use of mobile phone communications, have facilitated the development of new and efficient cereal trade routes and reduced marketing margins.",847.18052017432,1054.2585603642688,1098.560919461411,mistral
"Wind turbine foundations may act as artificial reefs, which could increase both the number of shellfish and the animals that feed on them, including other fish and marine mammals.",993.4121731514331,977.9864324840197,1028.6013943645473,mistral
"However, wars have been waged to reduce demographic pressures arising from the scarcity of arable land, the clearest example being the move to acquire Lebensraum (living space) that motivated Nazi Germany aggression toward Poland and Eastern Europe.",983.5103889185035,957.8147265536585,1058.6748845278385,mistral
"The direct and indirect effects from offshore wind farm development have been less well documented, but they include similar risks to bird and bat collisions; disruption of marine mammal corridors as well as harm to marine mammals, fish, and sea turtles from construction of bottom-mounted turbine towers; the potential for scour and sediment resuspension around the foundations of bottom-mounted wind turbines; and some evidence of displacement or barrier effects because of the presence of large offshore wind farms.",1091.9614633673198,999.4855210498501,908.5530155828294,llama2
"The study shows that the cultivation of crops, a critical aspect of food security, is gravely under threat given low cultivation of crops as a result of BH atrocities.",1052.2638257194196,897.4634534093148,1050.2727208712658,llama2
"Various sources attest that elevated mortality stemming from conflict is due more to population displacement, deficiencies of clean water and sanitation, exposure to disease, and public-health failures rather than to direct blows from violence.",930.8157298605611,1152.2108216045212,916.9734485349176,llama3
Civilians may also expand agricultural production due to cuts in a stable food supply.,1042.5916243784343,848.6930391993645,1108.7153364222004,mistral
"The failure of programmes to reintegrate people into production implemented in the 1990s within the framework of the implementation of the 1992 Peace Accords forced many former combatants to resort to criminal and antisocial behaviour. As we have pointed out elsewhere (1996), the failure of these programmes has to do with the fact that in spite of the majority of them targeting farming, the serious structural crisis the agricultural sector was undergoing was underestimated in their design and implementation.",875.8891968478565,997.2814064321726,1126.8293967199709,mistral
"On the supply side, both Huthi/Saleh forces and the Hadi government and its Saudi-led coalition allies repeatedly have hindered the movement of aid and commercial goods to the population. Huthi/Saleh violations are most egregious in the city of Taiz, where their fighters have enforced a full or partial blockade since 2015, with devastating humanitarian consequences. They routinely interfere with the work of humanitarians, at times demanding the diversion of aid to themselves or denying aid workers access to populations in need, revoking visas or even detaining them. They heavily tax all imports into their areas in part to finance the war effort and also run a black market in fuel, enriching military elites while driving prices up for transport of vital commodities.",886.9904298584892,1074.042001606327,1038.967568535184,llama3
"Increased grievances against the state, when agricultural deficits at the state level result in losses of tax revenues and higher food prices.",943.3460479493427,1033.1340580213314,1023.5198940293254,llama3
Borrowing food was observed to be the first step to mitigate the adverse effect of food insecurity at the household level in Yemen.,1074.6497970420558,847.9304561303545,1077.41974682759,mistral
"ASHA must tell the woman during pregnancy so that the woman must have that information with her. So, as soon as the child takes birth he/she will be fed with colostrum which will prevent the child from diseases.",898.2678292710978,949.5281681588575,1152.2040025700442,mistral
"For me, when I got married and my wife was pregnant, I registered her in general hospital, and also in a traditional Centre. Because my understanding is that, there are medications in the hospital and also another type of medications from the traditional.",967.7675558664683,1075.8757031280015,956.3567410055301,llama3
"Even, we do not want to be uncovered so that our private parts do not be seen.",1083.9067169641692,854.5864933708074,1061.5067896650226,llama2
"The use of contraception was linked vicariously to promiscuity: Promiscuous women were linked to the use of contraception, multiple abortions and disease or infections.",939.7092576207475,1152.1490730762787,908.1416693029736,llama3
I had vaginal discharge four months ago and I used a traditional medicine it stopped.,1070.428434689986,911.563451324031,1018.0081139859833,llama2
